Iteración: 0
0.0,25.0,25.0,25.0,0.0
18.0,0.0,0.0,0.0,12.0
18.0,0.0,0.0,0.0,12.0
18.0,0.0,0.0,0.0,12.0
0.0,-3.0,-3.0,-3.0,0.0

Iteración: 1
0.0,25.0,25.0,25.0,0.0
18.0,5.375,3.796875,5.099609375,12.0
18.0,2.921875,0.83984375,2.242431640625,12.0
18.0,2.240234375,0.010009765625,1.40655517578125,12.0
0.0,-3.0,-3.0,-3.0,0.0

Iteración: 2
0.0,25.0,25.0,25.0,0.0
18.0,6.21484375,4.644287109375,5.48583984375,12.0
18.0,3.411865234375,1.28857421875,2.5226211547851562,12.0
18.0,2.302734375,0.24973297119140625,1.4715442657470703,12.0
0.0,-3.0,-3.0,-3.0,0.0

Iteración: 3
0.0,25.0,25.0,25.0,0.0
18.0,6.38201904296875,4.769554138183594,5.536521911621094,12.0
18.0,3.4966659545898438,1.37982177734375,2.5484859943389893,12.0
18.0,2.3432998657226562,0.27433323860168457,1.4778524041175842,12.0
0.0,-3.0,-3.0,-3.0,0.0

Iteración: 4
0.0,25.0,25.0,25.0,0.0
18.0,6.40827751159668,4.79057765007019,5.5423829555511475,12.0
18.0,3.5164248943328857,1.3912277221679688,2.5514328852295876,12.0
18.0,2.3488447666168213,0.2772406116127968,1.478584187105298,12.0
0.0,-3.0,-3.0,-3.0,0.0

Iteración: 5
0.0,25.0,25.0,25.0,0.0
18.0,6.4133753180503845,4.793373249471188,5.543100766837597,12.0
18.0,3.519180975854397,1.392653465270996,2.5517923024017364,12.0
18.0,2.349552698433399,0.27759879385121167,1.4786738870316185,12.0
0.0,-3.0,-3.0,-3.0,0.0

Iteración: 6
0.0,25.0,25.0,25.0,0.0
18.0,6.414069278165698,4.793727938784286,5.543190030148253,12.0
18.0,3.5195344302337617,1.3928316831588745,2.5518369500423432,12.0
18.0,2.3496416530106217,0.27764340290013934,1.4786850441178103,12.0
0.0,-3.0,-3.0,-3.0,0.0

Iteración: 7
0.0,25.0,25.0,25.0,0.0
18.0,6.414157796127256,4.793772438679298,5.543201173590205,12.0
18.0,3.519578891537094,1.3928539603948593,2.5518425222628593,12.0
18.0,2.349652786804654,0.2776489739146655,1.4786864370221906,12.0
0.0,-3.0,-3.0,-3.0,0.0

Iteración: 8
0.0,25.0,25.0,25.0,0.0
18.0,6.414168916277049,4.793778006282764,5.543202566068203,12.0
18.0,3.5195844579345703,1.3928567450493574,2.551843218517469,12.0
18.0,2.3496541789811545,0.2776496701315878,1.478686611081132,12.0
0.0,-3.0,-3.0,-3.0,0.0

Iteración: 9
0.0,25.0,25.0,25.0,0.0
18.0,6.414170308027167,4.793778702393091,5.54320274011382,12.0
18.0,3.51958515400721,1.3928570931311697,2.551843305540765,12.0
18.0,2.3496543530173497,0.27764975715370643,1.478686632836809,12.0
0.0,-3.0,-3.0,-3.0,0.0

